GEO UID ,Census Tract name ,Total Education,No certificate,High (secondary) school,Postsecondary  Education
5350000,0000.00,3440845,275330,694735,2470775
5350001,0001.00,415,25,60,325
5350002,0002.00,255,20,40,200
5350003,0003.00,375,20,30,320
5350004,0004.00,4135,580,1040,2515
5350005,0005.00,4670,415,975,3285
5350006,0006.00,,,,
5350007.01,0007.01,2195,235,430,1525
5350007.02,0007.02,2960,275,705,1980
5350008.01,0008.01,7280,75,700,6505
5350008.02,0008.02,9310,190,900,8215
5350009,0009.00,200,15,45,140
5350010.01,0010.01,4440,95,495,3850
5350010.02,0010.02,5565,185,785,4600
5350011.01,0011.01,7910,150,710,7050
5350011.02,0011.02,7785,65,545,7175
5350011.03,0011.03,4925,20,400,4500
5350012.01,0012.01,10395,230,1045,9125
5350012.03,0012.03,7200,95,475,6635
5350012.04,0012.04,4325,60,420,3850
5350013.01,0013.01,5035,80,480,4475
5350013.02,0013.02,7590,55,510,7025
5350014,0014.00,1605,20,110,1475
5350015,0015.00,3495,75,230,3195
5350016,0016.00,8520,230,760,7535
5350017.01,0017.01,3650,100,315,3235
5350017.02,0017.02,5895,225,925,4745
5350018,0018.00,2700,40,350,2310
5350019,0019.00,2095,280,305,1510
5350020,0020.00,1180,0,100,1080
5350021,0021.00,2975,90,455,2430
5350022,0022.00,2100,40,240,1820
5350023,0023.00,1770,25,220,1520
5350024,0024.00,3940,135,645,3165
5350025,0025.00,2210,155,380,1675
5350026,0026.00,4095,445,840,2805
5350027,0027.00,2640,330,410,1895
5350028.01,0028.01,975,10,110,855
5350028.02,0028.02,3845,210,545,3095
5350029,0029.00,4125,500,640,2985
5350030,0030.00,4630,440,900,3295
5350031,0031.00,3405,490,735,2180
5350032,0032.00,3615,465,660,2495
5350033,0033.00,3265,390,675,2205
5350034.01,0034.01,3030,50,255,2730
5350034.02,0034.02,5440,200,670,4570
5350035,0035.00,7055,90,580,6385
5350036,0036.00,3755,165,535,3050
5350037,0037.00,2745,205,375,2160
5350038,0038.00,2065,245,505,1315
5350039,0039.00,2765,415,590,1750
5350040,0040.00,2785,410,570,1795
5350041,0041.00,2150,215,360,1570
5350042,0042.00,2790,245,495,2045
5350043,0043.00,2380,200,395,1785
5350044.01,0044.01,3325,230,490,2610
5350044.02,0044.02,3480,90,450,2940
